#Position (bp)	mapping quality
15197.0	25.32558651411309
45590.0	42.86490926104425
75983.0	42.92777466905381
106376.0	42.90702492211212
136769.0	41.20968865787067
167162.0	32.526476331775555
197555.0	28.859352943508643
221485.0	9.637410722441006
236681.5	17.983401602194853
258341.0	34.98464617345114
288734.0	42.63541046828933
319127.0	42.17029712807904
349520.0	42.916824083985816
379913.0	42.81861269067382
410306.0	42.093194311577165
440699.0	34.07095232042514
471092.0	39.64064868062654
501485.0	32.80611207047942
531878.0	41.89494114807249
562271.0	42.40704808789098
592664.0	42.71791177273597
623057.0	42.7134732300451
653450.0	41.21260800550882
683843.0	42.76122497190918
714236.0	41.167276195252576
744629.0	42.92824169455784
775022.0	42.8395894054964
805415.0	42.89907496742493
835808.0	41.999825211363294
866201.0	42.317029465642904
896594.0	41.467396029667704
926987.0	42.928646965472474
957380.0	42.812370122152274
987773.0	42.93669024566172
1018166.0	42.36004310808725
1038382.5	14.331204476631383
1053579.0	25.916323458863708
1078952.0	42.858271616448256
1109345.0	42.84191274361155
1139738.0	35.33551211041946
1170131.0	42.37731044114023
1200524.0	41.203945026311146
1230917.0	39.449974946271034
1261310.0	42.88145265196954
1291703.0	42.7716900262573
1322096.0	41.073427451111904
1348657.5	32.78904788069336
1363854.0	6.787975691849586
1382882.0	27.74697980407794
1413275.0	41.28353066238563
1443668.0	42.90902491958337
1474061.0	41.6351261511011
1504454.0	41.40485742884228
1534847.0	42.889285521066974
1565240.0	41.478484500369305
1595633.0	41.4529395634115
1626026.0	42.957549809454015
1656419.0	42.44502669397701
1686812.0	42.747659374463495
1717205.0	42.81709009172269
1747598.0	41.19319347093728
1777991.0	42.56934025263999
1808384.0	41.8799543535495
1838777.0	41.36349318092329
1869170.0	30.427678290100655
1899563.0	21.852175716168457
1929956.0	42.78648154522422
1960349.0	41.89105712646968
1990742.0	41.96288277125595
2021135.0	30.628992875350406
2051528.0	42.84736698399806
2081921.0	42.86505796285394
2112314.0	38.79811605041462
2142707.0	42.95900535252206
2173100.0	39.00370051644003
2203493.0	42.89695168887214
2233886.0	24.139373115350043
2264279.0	42.50758470707247
2294672.0	42.54365490676896
2325065.0	42.84527553693424
2355458.0	23.279339786315504
2385851.0	42.56750565307936
2416244.0	42.96998950793828
2446637.0	28.81265036082096
2477030.0	42.809401617037814
2507423.0	37.4469792333954
2537816.0	41.65976971927418
2568209.0	30.54942243682178
2598602.0	39.88599017663735
2628995.0	42.85303625597864
2659388.0	40.99137001773135
2689781.0	42.805722996013664
2720174.0	41.917628385764665
