#Duplication rate	Coverage
1.0	1708774.0
2.0	654125.0
3.0	232927.0
4.0	113596.0
5.0	53433.0
6.0	29166.0
7.0	16364.0
8.0	9838.0
9.0	6061.0
10.0	3981.0
11.0	2769.0
12.0	2010.0
13.0	1539.0
14.0	1161.0
15.0	834.0
16.0	658.0
17.0	590.0
18.0	486.0
19.0	416.0
20.0	306.0
21.0	292.0
22.0	302.0
23.0	268.0
24.0	249.0
25.0	208.0
26.0	172.0
27.0	141.0
28.0	196.0
29.0	165.0
30.0	162.0
31.0	131.0
32.0	130.0
33.0	130.0
34.0	113.0
35.0	100.0
36.0	106.0
37.0	118.0
38.0	99.0
39.0	91.0
40.0	81.0
41.0	82.0
42.0	79.0
43.0	69.0
44.0	68.0
45.0	70.0
46.0	63.0
47.0	65.0
48.0	59.0
49.0	49.0
50.0	1811.0
