#Duplication rate	Coverage
1.0	1910204.0
2.0	762401.0
3.0	310009.0
4.0	156028.0
5.0	80410.0
6.0	46176.0
7.0	27127.0
8.0	17080.0
9.0	10941.0
10.0	7473.0
11.0	5123.0
12.0	3683.0
13.0	2604.0
14.0	1929.0
15.0	1432.0
16.0	1198.0
17.0	963.0
18.0	756.0
19.0	632.0
20.0	511.0
21.0	441.0
22.0	347.0
23.0	357.0
24.0	272.0
25.0	271.0
26.0	231.0
27.0	223.0
28.0	219.0
29.0	186.0
30.0	212.0
31.0	159.0
32.0	140.0
33.0	160.0
34.0	136.0
35.0	141.0
36.0	119.0
37.0	117.0
38.0	107.0
39.0	90.0
40.0	122.0
41.0	84.0
42.0	79.0
43.0	71.0
44.0	95.0
45.0	72.0
46.0	64.0
47.0	54.0
48.0	63.0
49.0	64.0
50.0	2061.0
