#Duplication rate	Coverage
1.0	1050766.0
2.0	200379.0
3.0	47901.0
4.0	15419.0
5.0	5966.0
6.0	2702.0
7.0	1444.0
8.0	1001.0
9.0	684.0
10.0	534.0
11.0	404.0
12.0	339.0
13.0	271.0
14.0	244.0
15.0	248.0
16.0	194.0
17.0	145.0
18.0	137.0
19.0	119.0
20.0	120.0
21.0	90.0
22.0	104.0
23.0	81.0
24.0	73.0
25.0	60.0
26.0	71.0
27.0	56.0
28.0	51.0
29.0	51.0
30.0	40.0
31.0	47.0
32.0	35.0
33.0	31.0
34.0	19.0
35.0	23.0
36.0	31.0
37.0	21.0
38.0	24.0
39.0	33.0
40.0	21.0
41.0	21.0
42.0	25.0
43.0	13.0
44.0	18.0
45.0	17.0
46.0	21.0
47.0	7.0
48.0	11.0
49.0	10.0
50.0	239.0
