#Position (bp)	Coverage	Std
15197.0	72.92768071595434	37.70096699705128
45590.0	72.60856118185109	23.554594850503825
75983.0	67.50820912710164	23.006883421335864
106376.0	66.98134438851051	22.148341718909222
136769.0	60.32968117658672	20.797479561751594
167162.0	76.68295331161781	25.425235533125647
197555.0	68.95712828611852	29.76887078396564
221485.0	73.14742085074712	27.942126066466916
236681.5	91.4254216308216	33.972778783645765
258341.0	69.3547856414306	22.237743238936638
288734.0	67.82387391833646	25.197517372078245
319127.0	64.52811502648636	20.0016499829375
349520.0	66.03171782976344	18.350537059644594
379913.0	64.00154640871253	22.558196743500904
410306.0	67.7946566643635	21.114329837558
440699.0	70.68752673312935	27.324965435616654
471092.0	63.396736090547165	22.468256670819283
501485.0	68.73224097654065	25.95904802788169
531878.0	63.39170203665318	20.346982672602405
562271.0	61.031026881189746	19.445575969069708
592664.0	62.78462145888856	20.48001353749798
623057.0	63.70621524693186	20.91001601583595
653450.0	63.8160431678347	21.69680371427522
683843.0	68.19540683710065	19.986116162781617
714236.0	66.41121310828152	19.486581152095496
744629.0	65.52202809857533	20.048652697320865
775022.0	59.48313756457079	19.584013296830904
805415.0	65.49156055670714	21.481725902676157
835808.0	63.94886980554733	22.57246635375678
866201.0	68.47695192972066	20.68707062222277
896594.0	67.49685782910538	20.423891894441084
926987.0	67.94877109860823	23.455151780225084
957380.0	66.90761030500444	22.21385087278865
987773.0	66.30441220017767	19.528767249991652
1018166.0	69.57891619780871	22.336467427051485
1038382.5	83.36055776892431	28.138429507338227
1053579.0	79.29577949196678	30.666658032820923
1078952.0	64.1671108478926	20.60925650343043
1109345.0	72.32497614582306	21.861481138805267
1139738.0	59.64919553844635	26.91131911487216
1170131.0	61.734280919948674	20.609717881648038
1200524.0	59.68838219326819	28.8714915510199
1230917.0	62.51034777744876	20.3319246879742
1261310.0	68.363274438193	20.290903333003488
1291703.0	68.34603362616392	20.91859544306841
1322096.0	68.30546507419471	23.063371245597484
1348657.5	76.58191816981962	29.787585735811547
1363854.0	88.84718778546261	29.81192952243197
1382882.0	69.07876813740006	24.566844037172633
1413275.0	66.57069061955056	23.39472302696711
1443668.0	63.917250682722994	21.396191848805753
1474061.0	66.28342052446287	19.564302997173428
1504454.0	68.29437699470273	20.616114648499586
1534847.0	64.43977231599382	21.13962136880627
1565240.0	67.72990491231533	22.822911068364082
1595633.0	66.08521699075445	20.48308102873131
1626026.0	67.7084855065311	22.36839833270703
1656419.0	66.53788701345705	21.361579520033047
1686812.0	59.58796433389267	23.089881583217277
1717205.0	63.29362024150298	21.710797634333808
1747598.0	61.99822327509624	22.032046693374383
1777991.0	65.54242753265555	20.444487449868145
1808384.0	60.65228835587142	22.1861091588364
1838777.0	63.256605139341296	20.653949459356866
1869170.0	66.90566906853552	30.77715458740603
1899563.0	82.56058960944955	39.76633458220705
1929956.0	62.97821866877241	23.506758528326788
1960349.0	60.46602836179383	19.91244613646031
1990742.0	63.06465304510907	21.78629344733809
2021135.0	67.93231994209192	26.505436859902435
2051528.0	68.67643865363735	22.78892516241687
2081921.0	64.71812588424966	21.272830408573878
2112314.0	66.51890237883723	25.39141876712554
2142707.0	62.8610535320633	23.28711809945183
2173100.0	63.9472246898957	22.251129324750305
