#Duplication rate	Coverage
1.0	1758211.0
2.0	702628.0
3.0	262904.0
4.0	131844.0
5.0	64864.0
6.0	36610.0
7.0	21131.0
8.0	13330.0
9.0	8517.0
10.0	5813.0
11.0	4011.0
12.0	2927.0
13.0	2181.0
14.0	1779.0
15.0	1335.0
16.0	1132.0
17.0	945.0
18.0	875.0
19.0	696.0
20.0	617.0
21.0	534.0
22.0	491.0
23.0	406.0
24.0	401.0
25.0	393.0
26.0	326.0
27.0	330.0
28.0	283.0
29.0	276.0
30.0	260.0
31.0	247.0
32.0	229.0
33.0	204.0
34.0	178.0
35.0	206.0
36.0	181.0
37.0	176.0
38.0	199.0
39.0	160.0
40.0	119.0
41.0	128.0
42.0	143.0
43.0	136.0
44.0	113.0
45.0	114.0
46.0	104.0
47.0	112.0
48.0	99.0
49.0	110.0
50.0	3221.0
