#Duplication rate	Coverage
1.0	1923155.0
2.0	789763.0
3.0	317471.0
4.0	161652.0
5.0	82441.0
6.0	46984.0
7.0	27527.0
8.0	16989.0
9.0	10823.0
10.0	7223.0
11.0	4820.0
12.0	3401.0
13.0	2428.0
14.0	1961.0
15.0	1359.0
16.0	1010.0
17.0	866.0
18.0	674.0
19.0	497.0
20.0	465.0
21.0	414.0
22.0	331.0
23.0	298.0
24.0	248.0
25.0	265.0
26.0	210.0
27.0	174.0
28.0	179.0
29.0	166.0
30.0	167.0
31.0	130.0
32.0	122.0
33.0	125.0
34.0	113.0
35.0	111.0
36.0	78.0
37.0	91.0
38.0	81.0
39.0	100.0
40.0	73.0
41.0	89.0
42.0	74.0
43.0	92.0
44.0	65.0
45.0	58.0
46.0	66.0
47.0	55.0
48.0	53.0
49.0	67.0
50.0	1673.0
