#Duplication rate	Coverage
1.0	1093122.0
2.0	212988.0
3.0	49598.0
4.0	15632.0
5.0	5789.0
6.0	2568.0
7.0	1432.0
8.0	839.0
9.0	642.0
10.0	494.0
11.0	405.0
12.0	300.0
13.0	294.0
14.0	249.0
15.0	183.0
16.0	182.0
17.0	162.0
18.0	147.0
19.0	123.0
20.0	99.0
21.0	108.0
22.0	98.0
23.0	98.0
24.0	74.0
25.0	64.0
26.0	56.0
27.0	46.0
28.0	55.0
29.0	50.0
30.0	50.0
31.0	50.0
32.0	44.0
33.0	36.0
34.0	37.0
35.0	31.0
36.0	40.0
37.0	20.0
38.0	26.0
39.0	18.0
40.0	18.0
41.0	22.0
42.0	21.0
43.0	10.0
44.0	21.0
45.0	10.0
46.0	11.0
47.0	14.0
48.0	13.0
49.0	11.0
50.0	235.0
