#Duplication rate	Coverage
1.0	1908604.0
2.0	663338.0
3.0	245292.0
4.0	109986.0
5.0	52279.0
6.0	27578.0
7.0	14894.0
8.0	8731.0
9.0	5338.0
10.0	3452.0
11.0	2413.0
12.0	1658.0
13.0	1243.0
14.0	951.0
15.0	728.0
16.0	604.0
17.0	494.0
18.0	450.0
19.0	399.0
20.0	377.0
21.0	321.0
22.0	261.0
23.0	280.0
24.0	237.0
25.0	220.0
26.0	183.0
27.0	202.0
28.0	167.0
29.0	179.0
30.0	156.0
31.0	157.0
32.0	131.0
33.0	131.0
34.0	105.0
35.0	100.0
36.0	107.0
37.0	85.0
38.0	93.0
39.0	106.0
40.0	94.0
41.0	71.0
42.0	81.0
43.0	68.0
44.0	79.0
45.0	65.0
46.0	75.0
47.0	84.0
48.0	60.0
49.0	52.0
50.0	1755.0
